; CSV, generated by libsigrok4DSL 0.2.0 on Mon Dec 28 15:50:45 2020
; Channels (6/16)
; Sample rate: 10 MHz
; Sample count: 17.179832320 G Samples
Time(s), 0, 1, 2, 3, 4, 5
0,0,0,0,0,0,0
0.0266607,1,0,0,0,0,0
0.0769332,0,0,0,0,0,0
0.1270544,1,0,0,0,0,0
0.1771861,0,0,0,0,0,0
0.2273226,1,0,0,0,0,0
0.2776062,0,0,0,0,0,0
0.3277206,1,0,0,0,0,0
0.3778285,0,0,0,0,0,0
0.4279385,1,0,0,0,0,0
0.478207,0,0,0,0,0,0
0.5283176,1,0,0,0,0,0
0.5784273,0,0,0,0,0,0
0.6285429,1,0,0,0,0,0
0.6788153,0,0,0,0,0,0
0.7289338,1,0,0,0,0,0
0.7790303,0,0,0,0,0,0
0.8291317,1,0,0,0,0,0
0.8793929,0,0,0,0,0,0
0.9295007,1,0,0,0,0,0
0.9796142,0,0,0,0,0,0
1.0297155,1,0,0,0,0,0
1.0799852,0,0,0,0,0,0
1.1300971,1,0,0,0,0,0
1.1802211,0,0,0,0,0,0
1.2303334,1,0,0,0,0,0
1.2806003,0,0,0,0,0,0
1.3307075,1,0,0,0,0,0
1.3808195,0,0,0,0,0,0
1.43092,1,0,0,0,0,0
1.4811715,0,0,0,0,0,0
1.5312791,1,0,0,0,0,0
1.5813881,0,0,0,0,0,0
1.6314929,1,0,0,0,0,0
1.6817478,0,0,0,0,0,0
1.7318454,1,0,0,0,0,0
1.7819538,0,0,0,0,0,0
1.8320585,1,0,0,0,0,0
1.8823121,0,0,0,0,0,0
1.9324203,1,0,0,0,0,0
1.9825268,0,0,0,0,0,0
2.0326261,1,0,0,0,0,0
2.0828755,0,0,0,0,0,0
2.1329805,1,0,0,0,0,0
2.1830838,0,0,0,0,0,0
2.2332022,1,0,0,0,0,0
2.2834617,0,0,0,0,0,0
2.3335715,1,0,0,0,0,0
2.3836779,0,0,0,0,0,0
2.4337813,1,0,0,0,0,0
2.4840434,0,0,0,0,0,0
2.534168,1,0,0,0,0,0
2.5842962,0,0,0,0,0,0
2.6344101,1,0,0,0,0,0
2.6846908,0,0,0,0,0,0
2.7348125,1,0,0,0,0,0
2.7849184,0,0,0,0,0,0
2.8350352,1,0,0,0,0,0
2.8852989,0,0,0,0,0,0
2.9354131,1,0,0,0,0,0
2.9855361,0,0,0,0,0,0
3.0356515,1,0,0,0,0,0
3.0859133,0,0,0,0,0,0
3.1360263,1,0,0,0,0,0
3.1861421,0,0,0,0,0,0
3.2362631,1,0,0,0,0,0
3.2865399,0,0,0,0,0,0
3.3366651,1,0,0,0,0,0
3.3867826,0,0,0,0,0,0
3.4368922,1,0,0,0,0,0
3.4871622,0,0,0,0,0,0
3.5372803,1,0,0,0,0,0
3.5873963,0,0,0,0,0,0
3.6375215,1,0,0,0,0,0
3.6877877,0,0,0,0,0,0
3.7378972,1,0,0,0,0,0
3.7880033,0,0,0,0,0,0
3.8381165,1,0,0,0,0,0
3.8883831,0,0,0,0,0,0
3.9384947,1,0,0,0,0,0
3.9885998,0,0,0,0,0,0
4.0387008,1,0,0,0,0,0
4.088958,0,0,0,0,0,0
4.1390563,1,0,0,0,0,0
4.1891533,0,0,0,0,0,0
4.2392474,1,0,0,0,0,0
4.2894971,0,0,0,0,0,0
4.3395897,1,0,0,0,0,0
4.389675,0,0,0,0,0,0
4.4397601,1,0,0,0,0,0
4.4899992,0,0,0,0,0,0
4.5400824,1,0,0,0,0,0
4.5901741,0,0,0,0,0,0
4.6402647,1,0,0,0,0,0
4.6905091,0,0,0,0,0,0
4.7406116,1,0,0,0,0,0
4.7907094,0,0,0,0,0,0
4.8408202,1,0,0,0,0,0
4.8910763,0,0,0,0,0,0
4.9411752,1,0,0,0,0,0
4.9912647,0,0,0,0,0,0
5.041355,1,0,0,0,0,0
5.0915988,0,0,0,0,0,0
5.1416869,1,0,0,0,0,0
5.1917838,0,0,0,0,0,0
5.241885,1,0,0,0,0,0
5.2921503,0,0,0,0,0,0
5.3422532,1,0,0,0,0,0
5.3923584,0,0,0,0,0,0
5.4424663,1,0,0,0,0,0
5.4927162,0,0,0,0,0,0
5.5428125,1,0,0,0,0,0
5.5929077,0,0,0,0,0,0
5.6430063,1,0,0,0,0,0
5.6932645,0,0,0,0,0,0
5.7433813,1,0,0,0,0,0
5.7934895,0,0,0,0,0,0
5.8435824,1,0,0,0,0,0
5.8938503,0,0,0,0,0,0
5.9439641,1,0,0,0,0,0
5.994079,0,0,0,0,0,0
6.0441966,1,0,0,0,0,0
6.0944593,0,0,0,0,0,0
6.1445729,1,0,0,0,0,0
6.1946935,0,0,0,0,0,0
6.2448084,1,0,0,0,0,0
6.2950824,0,0,0,0,0,0
6.3451979,1,0,0,0,0,0
6.395305,0,0,0,0,0,0
6.4454167,1,0,0,0,0,0
6.4956764,0,0,0,0,0,0
6.5457928,1,0,0,0,0,0
6.5958929,0,0,0,0,0,0
6.6459844,1,0,0,0,0,0
6.6962284,0,0,0,0,0,0
6.7463191,1,0,0,0,0,0
6.7964222,0,0,0,0,0,0
6.8465275,1,0,0,0,0,0
6.8967763,0,0,0,0,0,0
6.9468627,1,0,0,0,0,0
6.9969577,0,0,0,0,0,0
7.0470394,1,0,0,0,0,0
7.0972642,0,0,0,0,0,0
7.147329,1,0,0,0,0,0
7.1974077,0,0,0,0,0,0
7.2474818,1,0,0,0,0,0
7.2977138,0,0,0,0,0,0
7.3478054,1,0,0,0,0,0
7.3978898,0,0,0,0,0,0
7.447989,1,0,0,0,0,0
7.4982491,0,0,0,0,0,0
7.5483468,1,0,0,0,0,0
7.5984531,0,0,0,0,0,0
7.6485561,1,0,0,0,0,0
7.6988053,0,0,0,0,0,0
7.7489036,1,0,0,0,0,0
7.7990171,0,0,0,0,0,0
7.8491139,1,0,0,0,0,0
7.8993653,0,0,0,0,0,0
7.9494653,1,0,0,0,0,0
7.9995595,0,0,0,0,0,0
8.0496525,1,0,0,0,0,0
8.099905,0,0,0,0,0,0
8.1499992,1,0,0,0,0,0
8.2000876,0,0,0,0,0,0
8.2501748,1,0,0,0,0,0
8.3004337,0,0,0,0,0,0
8.3505483,1,0,0,0,0,0
8.4006624,0,0,0,0,0,0
8.4507668,1,0,0,0,0,0
8.5010373,0,0,0,0,0,0
8.5511466,1,0,0,0,0,0
8.6012611,0,0,0,0,0,0
8.6513805,1,0,0,0,0,0
8.7016424,0,0,0,0,0,0
8.7517529,1,0,0,0,0,0
8.801862,0,0,0,0,0,0
8.8519731,1,0,0,0,0,0
8.9022333,0,0,0,0,0,0
8.9523392,1,0,0,0,0,0
9.0024391,0,0,0,0,0,0
9.05253,1,0,0,0,0,0
9.1027662,0,0,0,0,0,0
9.1528548,1,0,0,0,0,0
9.2029482,0,0,0,0,0,0
9.2530483,1,0,0,0,0,0
9.3033041,0,0,0,0,0,0
9.3534278,1,0,0,0,0,0
9.4035458,0,0,0,0,0,0
9.4536542,1,0,0,0,0,0
9.5039212,0,0,0,0,0,0
9.5540416,1,0,0,0,0,0
9.6041445,0,0,0,0,0,0
9.6542504,1,0,0,0,0,0
9.7045089,0,0,0,0,0,0
9.7546151,1,0,0,0,0,0
9.8047303,0,0,0,0,0,0
9.8548378,1,0,0,0,0,0
9.9050917,0,0,0,0,0,0
9.9551965,1,0,0,0,0,0
10.0053061,0,0,0,0,0,0
10.0554112,1,0,0,0,0,0
10.1056808,0,0,0,0,0,0
10.1557968,1,0,0,0,0,0
10.2059127,0,0,0,0,0,0
10.2560337,1,0,0,0,0,0
10.3063061,0,0,0,0,0,0
10.356429,1,0,0,0,0,0
10.4065442,0,0,0,0,0,0
10.4566508,1,0,0,0,0,0
10.5069173,0,0,0,0,0,0
10.5570346,1,0,0,0,0,0
10.6071603,0,0,0,0,0,0
10.6572833,1,0,0,0,0,0
10.7075687,0,0,0,0,0,0
10.7576899,1,0,0,0,0,0
10.8078132,0,0,0,0,0,0
10.8579332,1,0,0,0,0,0
10.9082069,0,0,0,0,0,0
10.9583197,1,0,0,0,0,0
11.0084439,0,0,0,0,0,0
11.0585532,1,0,0,0,0,0
11.108803,0,0,0,0,0,0
11.1589126,1,0,0,0,0,0
11.209029,0,0,0,0,0,0
11.2591483,1,0,0,0,0,0
11.3094153,0,0,0,0,0,0
11.3595363,1,0,0,0,0,0
11.409654,0,0,0,0,0,0
11.4597615,1,0,0,0,0,0
11.5100189,0,0,0,0,0,0
11.5601322,1,0,0,0,0,0
11.6102531,0,0,0,0,0,0
11.6603704,1,0,0,0,0,0
11.7106231,0,0,0,0,0,0
11.7607286,1,0,0,0,0,0
11.8108205,0,0,0,0,0,0
11.8609246,1,0,0,0,0,0
11.9111721,0,0,0,0,0,0
11.9612693,1,0,0,0,0,0
12.0113781,0,0,0,0,0,0
12.0614789,1,0,0,0,0,0
12.1117288,0,0,0,0,0,0
12.1618264,1,0,0,0,0,0
12.2119298,0,0,0,0,0,0
12.2620183,1,0,0,0,0,0
12.3122663,0,0,0,0,0,0
12.3623535,1,0,0,0,0,0
12.4124467,0,0,0,0,0,0
12.4625434,1,0,0,0,0,0
12.5127839,0,0,0,0,0,0
12.5628808,1,0,0,0,0,0
12.6129765,0,0,0,0,0,0
12.6630857,1,0,0,0,0,0
12.7133529,0,0,0,0,0,0
12.7634517,1,0,0,0,0,0
