Time [s],Packet ID,MOSI,MISO
-0.047152345,0,0x55,0x55
-0.047144340,0,0x6B,0x6B
-0.047136340,0,0x7D,0x7D
-0.047128335,0,0x91,0x91
-0.047120335,0,0x71,0x71
-0.047112335,0,0x04,0x04
-0.047104330,0,0x68,0x68
-0.047096330,0,0x7B,0x7B
-0.047088325,0,0x5F,0x5F
-0.047080325,0,0x7F,0x7F
-0.047072320,0,0x53,0x53
-0.047064320,0,0x53,0x53
-0.047056320,0,0x7B,0x7B
-0.047048315,0,0x40,0x40
-0.047040315,0,0x80,0x80
-0.047032310,0,0x60,0x60
-0.047024310,0,0x30,0x30
-0.047016310,0,0x10,0x10
-0.047008305,0,0x4A,0x4A
-0.047000305,0,0xEA,0xEA
-0.046992300,0,0xB4,0xB4
-0.046984300,0,0x42,0x42
-0.046976295,0,0x32,0x32
-0.046968295,0,0xA2,0xA2
-0.046960295,0,0xB4,0xB4
-0.046952290,0,0x22,0x22
-0.046944290,0,0xA2,0xA2
-0.046936285,0,0x6A,0x6A
-0.046928285,0,0x00,0x00
-0.046920285,0,0xC9,0x00
-0.046912280,0,0x0A,0x00
-0.046904280,0,0xF2,0x00
-0.000265060,1,0x55,0x55
-0.000257060,1,0x6B,0x6B
-0.000249060,1,0x7D,0x7D
-0.000241055,1,0x91,0x91
-0.000233055,1,0x71,0x71
-0.000225050,1,0x04,0x04
-0.000217050,1,0x68,0x68
-0.000209045,1,0x7B,0x7B
-0.000201045,1,0x5F,0x5F
-0.000193045,1,0x7F,0x7F
-0.000185040,1,0x53,0x53
-0.000177040,1,0x53,0x53
-0.000169035,1,0x7B,0x7B
-0.000161035,1,0x40,0x40
-0.000153030,1,0x80,0x80
-0.000145030,1,0x60,0x60
-0.000137030,1,0x30,0x30
-0.000129025,1,0x10,0x10
-0.000121025,1,0x4A,0x4A
-0.000113020,1,0xEA,0xEA
-0.000105020,1,0xB4,0xB4
-0.000097020,1,0x42,0x42
-0.000089015,1,0x32,0x32
-0.000081015,1,0xA2,0xA2
-0.000073010,1,0xB4,0xB4
-0.000065010,1,0x22,0x22
-0.000057005,1,0xA2,0xA2
-0.000049005,1,0x6A,0x6A
-0.000041005,1,0x00,0x00
-0.000033000,1,0xC9,0x00
-0.000025000,1,0x0A,0x00
